,input,output
7360,내가 순이를 좋아 몹시 한다.,내가 순이를 몹시 좋아한다.
7361,철수가 영희를 무서워 않았다.,철수가 영희가 무섭지 않았다.
7362,철수가 그 어느 연구를 했다.,철수가 한국어를 연구했다.
7363,이것이 생각이다.,이것이 철수의 생각이다.
7364,아이가 책들을 가져들왔다.,아이들이 책을 가져들 왔다.
7365,나는 어느 학생에게나 그의 부모를 만나 보겠다고 약속했다.,나는 어느 학생에게나 그의 부모를 만나 보겠다고 약속했다.
7366,철수가 그 노래를 안 작곡을 했다.,철수가 그 노래를 작곡을 안 했다.
7367,"올해 들어, 소낙비가 세 번이 왔다.","올해 들어, 소낙비가 세 번을 왔다."
7368,책을 읽게를 철수가 순이를 했다.,책을 읽게를 철수가 순이를 했다.
7369,철수가 순이가 좋다.,내가 순이가 좋다.
7370,철수는 영희를 밥을 먹는다고 생각한다. ,철수는 영희를 예쁘다고 생각한다.
7371,철수가 두 시간 취침들 했다.,그들은 두 시간 취침들 했다.
7372,이 책이 비싸지를 않다.,이 책이 비싸지가 않다.
7373,철수는 무엇이나 모든 물건을 먹는다.,철수는 무엇이나 모든 물건을 먹는다.
7374,할머니께서 텔레비전을 보시지가 않았다.,할머니께서 텔레비전을 보시지를 않았다.
7375,영희가 책을 주어졌다.,책이 영희에게 주어졌다.
7376,경찰이 학생들을 학교에서 3명을 조사했다.,경찰이 학생들을 학교에서 3명을 조사했다.
7377,너희 잘 가거라들.,너희 잘 가거라.
7378,철수가 늑대가 나타났다는 방송했다.,철수가 늑대가 나타났다는 방송을 했다.
7379,철수를 개가 다리를 물었다.,철수를 개가 다리를 물었다.
7380,철수는 지훈이를 하고 민호를 만났다.,철수는 봄에 하고 가을에 영희를 만났다.
7381,내가 거기갔기가 어렵다.,내가 거기 가기가 어렵다.
7382,영희는 아무것도 읽었다.,영희는 아무것도 안 읽었다.
7383,"민호는, 내가 좋아하는 여자를 안다.","민호는, 내가 좋아하는 여자를 안다."
7384,자기가 철수를 비판했다.,자기를 철수가 비판했다. 
7385,"누군가가 그 남자에게 빌려준 자동차를, 어떤 한 남자가 팔아치워 버렸다.",어떤 한 남자가 누군가가 그 남자에게 빌려준 자동차를 팔아치워 버렸다.
7386,자기의 아들이 졸업하였고 김 씨가 갑자기 죽었다.,자기의 아들이 졸업하고 김 씨가 갑자기 죽었다.
7387,편지가 한 시간 동안을 쓰였다.,편지가 한 시간 동안을 쓰였다.
7388,서로의 사장이 철수와 영희를 비판했다.,철수와 영희를 서로의 사장이 비판했다.
7389,철수가 안 안 떠났다.,철수가 안 떠나지 않았다.
7390,철수가 지훈이에게 책을 준다 그리고 윤아에게야.,철수가 지훈이에게 책을 준다 그리고 윤아에야.
7391,나에게 민호는 영희가 그를 소개해줬다.,나에게 민호는 영희가 그를 소개해줬다.
7392,아들이 책을 읽으셨다.,아들이 책을 읽었다.
7393,지희가 언제 집에 갔니고 물었다.,지희가 언제 집에 갔는가 물었다.
7394,철수는 영희에게 윤아가 파티에서 소개했다.,철수를 영희에게 윤아가 파티에서 소개했다.
7395,철수가 아무도 정직하였다고 시인하지 않는다.,철수가 아무도 정직하지 않았다고 시인한다. 
7396,영희에게 주기는 내가 책을 했다.,영희에게 주기는 내가 책을 했다.
7397,순이가 어머니가 책을 읽게 했다.,순이가 어머니가 책을 읽으시게 했다.
7398,"인상을, 가격이 했다.",가격이 인상을 했다.
7399,그녀가 그를 떠났다고 믿는다.,그녀가 그를 떠났다고 믿는다.
7400,철이는 영이의 자동응답기에 자기가 이겼다는 메모를 남겼다.,나는 영이의 자동응답기에 자기가 이겼다는 메모를 남겼다.
7401,철수가 먹은 것이 무엇이다.,철수가 먹은 것이 무엇이다.
7402,철수가 그 논문을 완벽한 수정했다.,철수가 그 논문의 완벽한 수정을 했다.
7403,지희가 그 책을 선생님에게 줬다.,지희가 그 책을 선생님께 드렸다.
7404,철수가 걸프 상황의 설명했다.,철수가 걸프 상황의 설명했다.
7405,철수가 할머니를 모시러 갔다.,철수가 할머니를 모시러 갔다.
7406,순이가 책을 읽어 급히 버렸다.,순이가 책을 급히 읽어 버렸다.
7407,그 책이 대중들에 의해 수십 년 동안이 읽히고 있다.,그 책이 대중들에 의해 수십 년 동안을 읽히고 있다.
7408,순이가 전쟁을 원 안 한다.,순이가 전쟁을 안 원한다.
7409,민호가 자기 지도교수를 무섭다.,민호가 자기 지도교수가 무섭다.
7410,민호가 영희가 안다.,민호가 영희를 안다.
7411,철수가 영희가 예쁘게 하였다.,철수가 영희를 예쁘게 하였다.
7412,김 선생님이 떠났다.,김 선생이 떠나셨다.
7413,철수가 어제 순이를 내일 만났다.,철수가 어제 순이를 만났다.
7414,철수는 잘 사과를 먹는다.,철수는 사과를 잘 먹는다.
7415,여자가 음악회에서 큰소리로 세 명 웃었다.,여자가 음악회에서 큰소리로 세 명 웃었다.
7416,철수가 무엇이든지를 먹는다.,철수가 무엇이든지 먹는다.
7417,그 책을 읽기는 철수가다.,그 책을 읽기는 철수가 한다.
7418,민수가 아무도 좋아한다.,민수가 아무도 좋아하지 않는다.
7419,그 남자를 죽었다.,그 남자가 죽었다.
7420,자기의 엄마에게 누구나가 최고다.,누구에게나 자기의 자식이 최고다.
7421,그는 모든 사람에게 자신의 월급을 주었다.,그는 모든 사람에게 자신의 월급을 주었다.
7422,나는 그 사람이 집에 안 가기를 바란다.,나는 그 사람이 집에 안 갔기를 바랐다.
7423,할머니께서 텔레비전을 보셨지 않았다.,할머니께서 텔레비전을 보시지 않았다.
7424,철수는 왔으나 영희는 아직 안 했다.,철수는 왔으나 영희는 아직 안 왔다.
7425,선생님이 거짓말하셨기가 쉬웠다.,선생님이 거짓말하시기가 쉬웠다.
7426,그녀가 영희를 그를 알았다고 믿는다.,그녀가 영희가 그를 알았다고 믿는다.
7427,영희가 철수를 좋다.,영희가 철수가 좋다.
7428,철수가 영어 공부를 내 추측에 했다.,철수가 영어 공부를 내 추측에 했다.
7429,철수는 피곤 아주 했다.,철수는 피곤 아주 했다.
7430,200파운드나 민호가 나간다.,민호가 200파운드나 나간다.
7431,철수가 수표로 빌린 돈을 갚았다.,철수가 빌린 돈을 수표로 갚았다.
7432,내가 친구로 인호를 삼았다.,내가 인호를 친구로 만들었다.
7433,"영희는 철수는 떠나기고, 순이는 남기를 원했다. ","영희는 철수는 떠나 기고, 순이는 남기를 원했다. "
7434,"철수가 영희에 대해서 말한다, 그리고 윤아에 대해서도야.","철수가 영희에 대해서 말한다, 그리고 윤아에 대해서 도야."
7435,사람들은 철수가 바보라는 생각했다.,사람들은 철수가 바보라는 생각했다.
7436,영희가 그의 부모에게 누구를 칭찬했니?,누구를 영희가 그의 부모에게 칭찬했니?
7437,민호에게 영희는 그녀가 편지를 썼다.,민호에게 영희는 편지를 썼다.
7438,그 책이 안 없다.,그 책이 없다.
7439,철수도 범행을 조사를 당하고 영희도 범행을 그것을 당했다.,철수도 범행을 조사를 당하고 영희도 범행을 그것을 당했다.
7440,선생이 뭉쳤다.,선생들이 뭉쳤다.
7441,철수가 영희가 피아노를 연주한다는소문을 들었다. 그리고 바이올린도야.,철수가 영희가 피아노를 연주한다는 소문을 들었다. 그리고 바이올린 도야.
7442,내가 선생님을 데리고 갔다.,내가 선생님을 모셨다.
7443,철수는 영희가 가다를 원했다.,철수는 영희가 가기를 원했다.
7444,영희는 그 책을 읽었지 않았다.,영희는 그 책을 읽지 않았다.
7445,주식이 사원들에게 회사의 공개가 되었다.,주식이 사원들에게 회사의 공개가 되었다.
7446,철수가 사과를 먹어 그리고 영희도 한다.,철수가 사과를 먹어 그리고 영희도야.
7447,영희는 철수가 왜 그 책을 읽었던 것을 알았니?,철수는 철수가 왜 그 책을 읽었는지 알았니?
7448,철수는 영희가 간다를 알았다. ,철수는 영희가 간 것을 알았다.
7449,시장이 어려운 분석이 되었다.,시장이 어렵게 분석이 되었다.
7450,철수가 순이에게 책을 보안였다.,철수가 순이에게 책을 안 보였다.
7451,인호가 이 책을 세 시간 동안이 읽었다.,인호가 이 책을 세 시간 동안을 읽었다.
7452,철수가 날짜를 정 안 했다.,철수가 날짜를 안 정했다.
7453,그를 내가 철수의 가정교사에게 소개했다.,내가 철수의 가정교사에게 그를 소개했다.
7454,철수가 날짜를 정을 했다.,철수가 날짜를 결정을 했다.
7455,한국어를 연구를 철수가 했다.,한국어를 연구를 철수가 했다.
7456,이 공장에 불이 났다.,이 공장에 불이 났다.
7457,민호가 영희에게를 선물을 주었다.,민호가 영희에게 선물을 주었다.
7458,먹으시기가 좋은 떡이 보시기도 좋다.,먹기가 좋은 떡이 보기도 좋다.
7459,순이가 영어를 한 것은 공부이다.,순이가 공부를 한 것은 영어이다.
7460,철수가 아버지를 현명하시게 생각한다.,철수가 그를 영리하게 생각한다.
7461,철수가 상자에서 돈을 넣었다.,철수가 상자에 돈을 넣었다.
7462,"철수가 배를 난파, 내 추측에, 시켰다.",철수가 배를 태풍 난파시켰다.
7463,그 여자를 그 남자가 예쁜 만났다.,예쁜 그 여자를 그 남자가 만났다.
7464,철수가 책을 사지 않고 영희가 공책을 사지 안 하였다.,철수가 책을 사지 않고 영희가 공책을 사지 안 하였다.
7465,인호가 이 책을 두 번이 읽었다.,인호가 이 책을 두 번을 읽었다.
7466,학생이 달려들 왔다.,학생들이 달려들 왔다.
7467,그 사건이 철수에 의해 조사를 되었다.,그 사건이 철수에 의해 조사되었다.
7468,동지들이 그의 사기를 북 안 돋았다.,동지들이 그의 사기를 안 북돋았다.
7469,나는 그의 부모에게 내가 어느 학생이나 잘 돌보겠다고 약속했다.,나는 어느 학생이나 그의 부모에게 내가 잘 돌보겠다고 약속했다.
7470,이 방이 저 방보다 두 배를 더 크다.,이 방이 저 방보다 두 배가 더 크다.
7471,선생님이 직장을 학생 제공을 했다.,선생님이 학생에게 직장 제공을 했다.
7472,철수가 사과를 먹는다 그리고 영희가 한다.,철수가 사과를 먹는다 그리고 영희도야.
7473,철수가 보스턴을 영희를 보았다.,철수가 보스턴에서 영희를 보았다.
7474,그 아이는 아버님이 아무것도 못 하도록 방해하였다. ,그 아이는 아버님이 아무것도 못 하도록 방해하였다. 
7475,아버님은 학교에 가고 어머님은 시장에 갔다.,아버님은 학교에 가시고 어머님은 시장에 가셨다.
7476,철수가 사과를 먹지 않는다. 그리고 영희가 아니야.,철수가 사과를 먹지 않는다. 그리고 영희도 아니야.
7477,그의 아내가 고개를 끄덕을거렸다.,그의 아내가 고개를 끄덕거렸다.
7478,그를 민수의 부모님이 방문했다.,민수의 부모님이 그를 방문했다.
7479,순이가 예쁜 그것을 샀다.,순이가 예쁜 것을 샀다.
7480,눈독을 민호가 영희에게 들였다.,민호가 영희에게 눈독을 들였다.
7481,나는 영희가 좋아한다.,나는 영희를 좋아한다.
7482,철수가 영희에게 부모님을 소개했다.,철수가 영희에게 부모님을 소개했다.
7483,나의 아버지가 오셨다.,나의 아버지가 오셨다.
7484,오늘 빨리 순이가 밥을 먹었다.,오늘 순이가 밥을 빨리 먹었다.
7485,내가 그 아이를 이름을 썼다.,내가 그 아이를 이름을 불렀다.
7486,민호에게 선물을 주어졌다.,민호에게 선물이 주어졌다.
7487,철수가 한국어를 연구 어렵게 했다.,철수가 한국어를 연구를 어렵게 했다.
7488,철수가 안 자살 안 했다.,철수가 자살했다.
7489,엄마가 민호한테 아버지에게 용돈을 못 주게 했다.,엄마가 아버지에게 민호한테 용돈을 못 주게 했다.
7490,"철수가 책을 읽는다, 영희가 잡지를.","철수가 책을 , 영희가 잡지를 읽는다."
7491,유리에게 철수가 영희에게 누가 장미꽃을 선물했는지 물었다.,철수가 영희에게 누가 유리에게 장미꽃을 선물했는지 물었다.
7492,그의 부모가 모든 아들을 군대에 보냈다.,모든 아들을 그의 부모가 군대에 보냈다.
7493,영희가 예쁘지 안 한다.,영희가 예쁘지 않다.
7494,경찰이 그 사건을 조사했고 보도했다.,경찰이 그 사건을 조사 보도했다.
7495,다리는 개가 철수를 물었다.,철수는 개가 다리를 물었다.
7496,책을 읽었다고 철수가 순이를 믿었다.,철수가 순이를 책을 읽었다고 믿었다.
7497,철수가 가기 했다.,철수가 가지는 않았다.
7498,민호가 누구조차 만났니? ,민호가 누구조차 만났니? 
7499,문이 한 시간 동안을 열려 있었다.,문이 한 시간 동안이 열려 있었다.
7500,아버지께서 어제 차를 샀다.,아버지께서 어제 차를 사셨다.
7501,영희가 남편이 건강하기를 바랐다.,영희가 남편이 건강하기를 바랐다.
7502,철수가 사과를 먹었어 그리고 영희도 했어.,철수가 사과를 먹었어 그리고 영희도였어.
7503,철수가 저녁을 안 먹긴 먹었다.,철수가 저녁을 안 먹긴 안 먹었다.
7504,개가 순이에 의해 무서워졌다.,순이가 개를 무서워했다.
7505,영희가 안 그 책을 읽었다. ,영희가 그 책을 안 읽었다.
7506,철수가 한번의 진찰받았다.,철수가 한 번의 진찰받았다.
7507,철수는 선생님이 천재였다고 믿는다.,철수는 선생님이 천재였다고 믿는다.
7508,"F20도 추락이 되고, F22도 그것이 되었다.",비행기가 추락이 되었다.
7509,할머니의 책이 없어지셨다.,할머니의 피부가 거칠어지셨다.
7510,철수가 영희가 무서워가 한다.,철수가 영희를 무서워를 한다.
7511,아무도 밥을 먹었고 설거지를 하지 않았다.,아무도 밥을 먹고 설거지를 하지 않았다.
7512,철수가 야구를 좋아하였다고 영희가 농구를 싫어하.,철수가 야구를 좋아하였고 영희가 농구를 싫어하였다.
7513,내가 돈을 필요하다.,내가 돈이 필요하다.
7514,민호는 철수가 책을 읽지 그리고 영화를 보지 않았다고 말했다.,민호는 영희에게 도시를 떠나도록 그리고 돈을 벌도록 설득했다.
7515,아이가 어머니에 의해 사과를 먹여졌다.,사과가 어머니에 의해 아이에게 먹여졌다.
7516,책상이 두 번이 움직였다.,책상이 두 번을 움직였다.
7517,"철수는 그 경찰을 만나서, 어떤 경찰에게 길을 물었다.","철수는 어떤 경찰을 만나서, 그 경찰에게 길을 물었다."
7518,"멋있게, 미나가 옷을 입는다.","멋있게, 미나가 옷을 입는다."
7519,대부분의 사람을 만났니?,대부분의 사람을 만났니?
7520,선생님이 보셨기에는 그가 제일 착했다.,선생님이 보시기에는 그가 제일 착했다.
7521,철수가 김 교수가 오셨게 했다.,철수는 김 교수가 오시게 했다.
7522,철수가 그 논문을 빨리 출판했다.,철수가 그 논문을 빨리 출판했다.
7523,선생님이 영수를 보았다.,선생님이 영수를 보셨다.
7524,나는 그에게 내가 민수의 부모님을 잘 돌보겠다고 약속했다.,나는 그에게 내가 민수의 부모님을 잘 돌보겠다고 약속했다.
7525,강이 얼지 못 하였다.,강이 얼지 못 하였다.
7526,지원자가 심하게 경쟁했다.,지원자들이 심하게 경쟁했다.
7527,철수가 서로의 성적을 영희와 미자에게 보여줬다.,철수가 영희와 미자에게 서로의 성적을 보여줬다.
7528,철수가 그 사건을 자세한 보도를 했다.,철수가 그 사건을 자세히 보도를 했다.
7529,민호는 일부러 차를 샀다. 나도 그리하였다.,민호는 일부러 차를 샀다. 나도 현찰로 그리하였다.
7530,아무도 철수가 사과를 안먹었다고 생각한다.,아무도 철수가 사과를 안 먹었다고 생각한다.
7531,"순이는 편지를 자주 하지만, 그녀의 동생은 절대로 그것하지 않는다.","순이는 편지를 자주 하지만, 그녀의 동생은 그것을 절대로 하지 않는다."
7532,순이가 종이를 인형을 만들었다.,순이가 종이 인형을 만들었다.
7533,철수가 사과를 먹지 않았다. 그리고 영희가.,철수가 사과를 먹지 않았다. 그리고 영희도.
7534,공부는 순이가 영어를 했다.,순이가 영어는 공부를 했다.
7535,무엇이 그것을 했니?,무엇이 그것을 했니?
7536,철수가 서로의 방을 그들에게 보여주었다.,철수가 그들에게 서로의 방을 보여주었다.
7537,철수가 사탕을 원을 했다.,철수가 사탕을 원했다.
7538,철수가 밥을 안 모두 먹었다.,철수가 밥을 모두 안 먹었다.
7539,씨는 농부가 뿌리기를 했다.,씨는 농부가 뿌리기를 했다.
7540,영희가 안 예뻤기는 하다.,영희가 안 예쁘기는 하다.
7541,도시를 떠나지는 영희가 않았다.,영희가 도시를 떠나지 않았다.
7542,영희가 먹었고 나서 철수가 설거지한다.,영희가 먹었고 나서 철수가 설거지한다.
7543,철수는 영희가 아버지를 부자라고 생각한다.,철수는 영희가 아버지가 부자라고 생각한다.
7544,내가 민호를 좋다.,나에게 민호가 좋다.
7545,철수가 영희가 아이들에게 얘기하였다고들 말했다.,철수가 영희가 아이들에게 얘기하였다고 말했다.
7546,순이가 어머니가 책을 읽었다고 믿었다.,순이가 어머니가 책을 읽으셨다고 믿었다.
7547,철수가 이 공부했다.,철수가 이 공부를 했다.
7548,최소한 학생 한 명씩은 대부분의 교수를 방문했다.,최소한 학생 한 명씩은 대부분의 교수를 방문했다.
7549,철수는 영희를 아버지를 부자라고 생각한다.,철수는 영희를 아버지가 부자라고 생각한다.
7550,선생님이 자동차를 학생 판매를 했다.,선생님이 학생에게 자동차 판매를 했다.
7551,너는 그의 집으로 누구의 월급 봉투를 보내니?,누구의 월급 봉투를 너는 그의 집으로 보내니?
7552,영이는 철이의 자동응답기에 자기가 이겼다는 메모를 남겼다.,나는 철이의 자동응답기에 자기가 이겼다는 메모를 남겼다.
7553,"철수가 영어를 공부를 하고, 지훈이도 영어를 그것을 했다.","철수가 사과를 먹고, 지훈이도 그것을 먹었다."
7554,철수가 토끼전 사냥에 나섰다.,철수가 토끼들 사냥에 나섰다.
7555,그 문제를 안 알았다.,그 문제를 알았다.
7556,그가 카이사르에 관해 살해를 했다.,그가 카이사르를 살해를 했다.
7557,영희만 윤아에게만 노트를 준다.,영희만 윤아에게 노트를 준다.
7558,그 문제를 안 몰랐다.,그 문제를 몰랐다.
7559,도서관에 철수의 책의 기부를 했다.,철수가 도서관에의 책의 기부를 했다.
7560,농부가 씨를 고르기를 뿌리기를 했다.,농부가 씨를 뿌리기를 했다.
7561,철수가 열 시에 갔다.,철수가 열 시에 갔다.
7562,영희가 그 책을 읽었기는 하였다.,영희가 그 책을 읽기는 하였다.
7563,영희가 먹고나서 철수가 설거지했다.,영희가 먹고나서 철수가 설거지했다.
7564,나는 안 학생이다.,나는 학생이 아니다.
7565,"올해 들어, 한강이 세 번이 얼었다.","올해 들어, 한강이 세 번을 얼었다."
7566,영희에게 철수에게 나는 전화하게 했다.,나는 영희에게 철수에게 전화하게 했다.
7567,책이 철수에 의해 순이가 읽었다고 믿어졌다.,철수가 순이가 책을 읽었다고 믿었다.
7568,순이에게 철이는 자기의 점수를 보여줬다.,순이에게 나는 자기의 점수를 보여줬다.
7569,선생님이 보셨기에는 영희가 제일 예뻤다.,선생님이 보시기에는 영희가 제일 예뻤다.
7570,아버지가 누구에게나 용돈을 준다.,누구에게나 아버지가 용돈을 준다.
7571,너는 영희가 왜 왔다고 안 믿니?,너는 영희가 왜 왔다고 믿니?
7572,영희가 어둠을 무섭다.,영희가 어둠이 무섭다.
7573,그들을 서로의 선생님이 순희가 비판했다고 말했다.,순희가 그들이 서로의 선생님을 비판했다고 말했다.
7574,영희가 바로 아무것도 보았다고 주장 안 했다.,영희가 바로 아무것도 안 아니 보았다고 주장했다.
7575,철수에게 아버지가 걱정스럽다.,철수는 아버지가 걱정스럽다.
7576,철수가 안 밥을 먹었다.,철수가 밥을 안 먹었다.
7577,이 노래가 서민들 사이에서 수백 년 동안이 불려 왔다.,이 노래가 서민들 사이에서 수백 년 동안을 불려 왔다.
7578,아무도 누구를 초대하지 않았니?,누구를 아무도 초대하지 않았니?
7579,"교수님은 빵을, 그리고 민호는 밥을, 미나에게 주셨다.","교수님은 빵을, 그리고 민호는 밥을, 미나에게 주었다."
7580,누군가의 내가 철수의 사진을 샀다.,내가 철수의 누군가의 사진을 샀다.
7581,"술은 철수가 맥주를 마시면, 현아는 아마 기뻐할 것이다.","철수가 술을 맥주를 마시면, 현아는 아마 기뻐할 것이다."
7582,한 학생이 달리고들 있다.,한 학생이 달리고 있다.
7583,정희 오랜만이라며 반갑게 말을 걸었다.,정희는 오랜만이라며 반갑게 말을 걸었다.
7584,선생님이 학생을 세 명이 칭찬하였다.,선생님이 학생을 세 명을 칭찬하였다.
7585,지희가 진수를 두 시에를 만났다.,지희가 진수를 두 시에 만났다.
7586,교수님의 개가 짖으셨다.,교수님의 개가 짖었다.
7587,아버지는 아무도 자기 집에서 천재라고 안 슬퍼하셨다.,철수는 아무도 천재라고 안 믿었다.
7588,아버지는 철수를 어리석다고 슬퍼하셨다.,아버지는 철수가 어리석다고 슬퍼하셨다.
7589,눈이 길을 질퍽하게 녹았다.,눈이 길이 질퍽하게 녹았다.
7590,철수에게 어머니가 차가 그립다.,철수에게 어머니가 손이 그립다.
7591,책 철수 읽는다.,철수 책 읽는다.
7592,개구리가 두 마리를 잡혔다.,개구리가 두 마리가 잡혔다.
7593,철수에게 과일이 사과를 팔렸다.,철수에게 과일이 사과가 팔렸다.
7594,철수가 그 다리가 얼었다.,철수가 오른쪽 다리가 얼었다.
7595,윤아밖에 친절했다.,윤아밖에 친절했다.
7596,너는 이제 가도 모든게 된다.,너는 이제 가도 된다.
7597,미나가 모두를 누구에게 소개했니?,미나가 누구에게 모두를 소개했니?
7598,지훈이가 순이를 여동생을 때렸다.,지훈이가 순이의 여동생을 때렸다.
7599,아무도 누가 초대하지 않았니?,누가 아무도 초대하지 않았니?
7600,수미에게만 영희가 철수가 말해 준 비밀을 알고 있다.,영희가 철수가 수미에게만 말해 준 비밀을 알고 있다.
7601,그림이 철수에게 걸렸다.,그림이 철수에게 걸렸다.
7602,철수가 다신 많은 사람이 만나고 싶지 않다.,철수가 다신 많은 사람을 만나고 싶지 않다.
7603,순이는 철수를 밥을 먹었다고 믿었다.,순이는 철수가 밥을 먹었다고 믿었다.
7604,서울이 큰아버지가 사신다.,서울이 큰아버지가 사신다.
7605,철수가 점심은 피자를 먹은 사람을 만났다.,철수가 점심을 피자를 먹은 사람을 만났다.
7606,구름이 모든 비가 된다.,모든 구름이 비가 된다.
7607,누군가가 차를 많이 밀었다.,차가 많이 밀렸다.
7608,철수가 책을 세 번이 읽었다.,철수가 책을 세 번을 읽었다.
7609,학생이 뜨겁게 세 명 커피를 마셨다.,학생이 세 명 뜨겁게 커피를 마셨다.
7610,영희가 철수를 어제 잡혔다고 믿었다.,영희가 철수를 잡혔다고 믿었다.
7611,그들은 영희밖에 모두 착하지 않다고 믿었다.,그들은 모두 영희 밖에 착하지 않다고 믿었다.
7612,사람들이 부자로 그를 생각했다.,사람들이 그를 부자로 생각했다.
7613,기차가 빨리가 간다.,기차가 빨리를 간다.
7614,은주는 교수님을 만났다.,은주는 교수님을 만났다.
7615,그 교수가 사위로 영한을 삼았다.,영한을 그 교수가 사위로 삼았다.
7616,인호가 동생이 집에 들어갔다.,인호가 아버지가 환갑을 지냈다.
7617,지훈이가 철수를 얼굴이 때렸다.,지훈이 철수를 얼굴을 때렸다.
7618,나무가 숲이 얼었다.,나무가 숲이 얼었다.
7619,철수가 책을 목요일을 읽었다.,철수가 책을 세 시간을 읽었다.
7620,철수가 뱀을 무섭다.,철수가 뱀이 무섭다.
7621,영희가 그 책을 했다.,영어가 그 책을 공부를 했다.
7622,침대에가 미나가 누웠다.,미나가 침대에 누웠다.
7623,공이 그 남자에게 쫓긴다.,공이 그 남자에게 쫓긴다.
7624,누군가가 김 감독의 작전을 먹지 않았다.,김 감독의 작전이 상대 팀에게 먹히지 않았다.
7625,김 교수님의 댁에 화재가 나셨다.,김 교수님의 넥타이에 잉크가 묻으셨다.
7626,학생이 세 명이 물을 마셨다.,학생이 세 명이 물을 마셨다.
7627,시간이 나를 쫓는다.,내가 시간에 쫓긴다.
7628,철수가 얼굴을 다쳤다.,철수가 얼굴이 다쳤다.
7629,미나가 철수를 생각하는 것은 미남으로이다.,미나가 철수를 가장 미남으로 생각한다.
7630,영희가 철수만 사과했다.,영희가 철수에게만 사과했다.
7631,손을 철수가 영희를 잡았다.,학교에서 철수가 영희를 잡았다.
7632,자기 자신이 철수에게 말했다.,철수에게 자기 자신이 말했다.
7633,철수가 영희를 손을 잡았다.,철수가 영희를 손을 잡았다.
7634,아시아가 극동 국가가 사람들이 목욕을 즐긴다.,아시아가 극동 국가가 사람들이 목욕을 즐긴다.
7635,철수가 영희를 의사가 유명하다고 생각한다.,철수가 영희를 유명하다고 생각한다.
7636,우리는 그를 대통령으로서 뽑았다.,우리는 그를 대통령으로 뽑았다.
7637,꽃으로가 정원이 가득하다.,정원에가 꽃이 가득하다.
7638,정부는 WTC의 파괴를 인정하였다.,정부는 WTC의 파괴를 인정하였다.
7639,순이가 안 노래를 불렀다.,순이가 노래를 안 불렀다.
7640,회사에가 윤아가 다닌다.,윤아가 회사에 다닌다.
7641,철수가 아무것도 말보로를 안 피웠다.,철수가 담배를 아무것도 안 피웠다.
7642,어디에 서부에 지진이 났니?,어디가 서부에 지진이 났니?
7643,영희가 통사론만을 공부한다.,영희가 통사론만을 공부한다.
7644,영희는 보스턴만 살았다.,영희는 보스턴에서만 살았다.
7645,철수가 맥주를 두 번을 마셨다.,철수가 맥주를 두 번을 마셨다.
7646,영희가 책을 각각 읽었다. 그리고 철수가 신문을 각각 읽었다.,"영희가 책을, 그리고 철수가 신문을 각각 읽었다."
7647,자기 자신이 철수도 비난했다.,철수도 자기 자신이 비난했다.
7648,학교에서 한 시에 영희가 내가 너를 기다렸다고 생각했다.,내가 학교에서 한 시에 너를 기다렸다.
7649,하인이 철수에게 책을 주시었다.,선생님이 철수에게 책을 주시었다.
7650,수미가 식당에서를 밥을 먹었다.,수미가 식당에서 글 밥을 먹었다.
7651,누군가는 철수가 좋아하였다.,영희는 철수가 좋아하였다.
7652,영희가 한 시간 내 언어학을 공부했다.,영희가 한 시간 동안 언어학을 공부했다.
7653,어제 철수가 어제 수가 어제 예뻤다고 생각하였다.,어제 철수가 어제 윤아가 예뻤다고 생각하였다.
7654,철수가 영희의 지긋이 손을 잡았다.,영희를 철수가 지긋이 손을 잡았다.
7655,썰매를 개가 허스키가 잘 끈다.,개가 썰매를 허스키가 잘 끈다.
7656,철수가 한 시간 동안이 잤다.,철수가 한 시간 동안을 잤다.
7657,철수는 영희와 지훈이가 무죄라고서로의 재판에서 증명하였다.,철수는 영희와 지훈이를 무죄라고 서로의 재판에서 증명하였다.
7658,유미가 인호를 머리카락을 잘랐다.,유미가 도끼로 인호를 잘랐다.
7659,개구리를 현아에게 잡혔다.,개구리가 현아에게 잡혔다.
7660,지훈이가 철수를 의자가 견고하다고 생각한다.,지훈이 철수를 아들이 착하다고 생각한다.
7661,철수에게가라도 돈이 필요하다.,철수에게라도 돈이 필요하다.
7662,구멍이 영희에게 뚫렸다.,구멍이 뚫렸다.
7663,유미가 책을 읽기를 시작했다.,유미가 공부를 시작했다.
7664,윤아가 포도주를 과일주를 좋아한다.,윤아가 포도주를 과일주를 좋아한다.
7665,하키를 캐나다가 모든 사람이 좋아한다.,캐나다가 하키를 모든 사람이 좋아한다.
7666,자기 어머니도 모든 소년이 좋아한다.,영희를 모든 소년이 좋아한다.
7667,은주는 애나가 밥을 그리고 미나는 민호가 밥을 먹었다고 말했다.,은주는 영희가 그리고 미나는 민호가 밥을 먹었다고 말했다.
7668,시간이 철수를 쫓았다.,철수가 시간에 쫓기었다.
7669,철수가 이탈리아를 로마에 갔다.,철수가 이탈리아를 로마를 갔다.
7670,미나는 책을 도서관에를 주었다.,미나가 책을 도서관에 주었다.
7671,히딩크 감독이 한국에서 영웅으로 믿긴다.,히딩크 감독이 한국에서 영웅으로 믿어진다.
7672,철수가 윤아를 그녀가 똑똑하다고 생각한다.,철수가 윤아를 똑똑하다고 생각한다.
7673,그들은 영희가 모두 착하다고 믿었다.,그들은 영희를 모두 착하다고 믿었다.
